,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2175,2020,28,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,1,Goiás EC,2,Wagner do Nascimento Magalhães,6,4,13,17,2,2
2176,2020,2,Estádio Governador Magalhães Pinto,0,57000,Atlético-MG,3,Corinthians,2,Wagner do Nascimento Magalhães,8,4,19,11,3,1
2177,2020,6,Estádio Governador Magalhães Pinto,0,57000,Atlético-MG,0,Athletico-PR,2,Dyorgines Jose Padovani,9,1,7,23,1,1
2178,2020,15,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,1,Botafogo,2,Rodrigo D,6,8,11,15,0,0
2179,2020,16,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,3,Internacional,5,Wagner do Nascimento Magalhães,2,7,6,19,1,3
2180,2020,33,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,0,Flamengo,3,Rafael Traci,2,6,15,20,0,1
2181,2020,35,Estádio Beira-Rio,0,56000,Internacional,1,Sport Recife,2,Rodolpho Toski Marques,7,3,12,11,0,1
2182,2020,14,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,0,Internacional,2,Felipe Fernandes,7,2,18,22,2,1
2183,2020,23,Estádio São Januário,0,24584,Vasco da Gama,1,Ceará SC,4,Luiz Flávio de Oliveira,9,3,14,18,1,3
2184,2020,38,Estádio São Januário,0,24584,Vasco da Gama,3,Goiás EC,2,Leandro Pedro Vuaden,9,6,12,18,2,2
2185,2020,7,Arena Fonte Nova,0,55000,EC Bahia,3,Flamengo,5,Savio Pereira Sampaio,5,6,8,17,2,2
2186,2016,25,Estádio Olímpico Nilton Santos,11883,46931,Botafogo,0,Santos FC,1,Paulo Henrique Schleinch Vollkopf,,,,,,
2187,2016,27,Estádio Estadual Kléber José de Andrade,13780,,Flamengo,2,Cruzeiro,1,Leandro Pedro Vuaden,,,,,,
2188,2016,29,Estádio Municipal Paulo Machado de Carvalho,21773,78838,Flamengo,3,Santa Cruz,0,Ricardo Marques Ribeiro,,,,,,
2189,2016,32,Estádio Jornalista Mário Filho,54250,78838,Flamengo,2,Corinthians,2,Anderson Daronco,,,,,,
2190,2016,30,Estádio General Sílvio Raulino de Oliveira,9008,,Fluminense,1,Flamengo,2,Sandro Ricci,,,,,,
2191,2016,38,Arena Condá,,22600,Chapecoense,,Atlético-MG,,Rodrigo D'Alonso Ferreira,,,,,,
2192,2016,31,Estádio Beira-Rio,31981,56000,Internacional,2,Flamengo,1,Wilton Sampaio,,,,,,
2193,2016,2,Arena do Grêmio,17866,60540,Grêmio,1,Flamengo,0,Luiz Flávio de Oliveira,,,,,,
2194,2016,4,Arena do Grêmio,12415,60540,Grêmio,2,Coritiba FC,0,Sandro Ricci,,,,,,
2195,2016,6,Arena do Grêmio,16957,60540,Grêmio,1,Ponte Preta,0,Péricles Bassols Pegado Cortez,,,,,,
2196,2016,9,Arena do Grêmio,16566,60540,Grêmio,2,Cruzeiro,0,Thiago Duarte Peixoto,,,,,,
2197,2016,12,Arena do Grêmio,14865,60540,Grêmio,3,Santos FC,2,Eduardo Tomaz de Aquino Valadão,,,,,,
