,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
567,2019,34,Estádio Governador Magalhães Pinto,34432,55000,Edina Alves Batista,Atlético-MG,0,Athletico-PR,1,,,,,,
568,2019,36,Estádio Raimundo Sampaio,18062,23018,Paulo Roberto Alves Júnior,Atlético-MG,2,Corinthians,1,,,,,,
569,2019,37,Estádio Governador Magalhães Pinto,27924,40000,Leandro Pedro Vuaden,Atlético-MG,2,Botafogo,0,,,,,,
570,2019,2,Estádio Beira-Rio,40588,56000,Flavio Rodrigues de Souza,Internacional,2,Flamengo,1,,,,,,
571,2019,12,Estádio Beira-Rio,12536,56000,Marcelo de Lima Henrique,Internacional,1,Ceará SC,0,,,,,,
572,2019,14,Estádio Beira-Rio,36166,56000,Caio Max Augusto Vieira,Internacional,0,Corinthians,0,,,,,,
573,2019,17,Estádio Beira-Rio,9652,56000,Dewson Fernando Freitas da Silva,Internacional,3,Botafogo,2,,,,,,
574,2019,18,Estádio Beira-Rio,16048,56000,Marcelo de Lima Henrique,Internacional,1,São Paulo,0,,,,,,
575,2019,20,Estádio Beira-Rio,24362,56000,Diego Pombo Lopez,Internacional,1,Chapecoense,0,,,,,,
576,2019,27,Estádio Beira-Rio,21273,56000,Vinicius Gonçalves Dias Araujo,Internacional,0,Vasco da Gama,1,,,,,,
577,2019,29,Estádio Beira-Rio,20900,56000,André Luiz de Freitas Castro,Internacional,1,Athletico-PR,1,,,,,,
578,2019,34,Estádio Beira-Rio,28684,56000,Jose Mendonça,Internacional,2,Fortaleza,2,,,,,,
579,2019,35,Estádio Beira-Rio,21302,56000,Caio Max Augusto Vieira,Internacional,1,Goiás EC,2,,,,,,
580,2019,13,Estádio Estadual Kléber José de Andrade,9631,24584,Marielson Alves Silva,Vasco da Gama,0,CSA,0,,,,,,
581,2019,15,Estádio Nacional de Brasília Mané Garrincha,65418,67000,Leandro Pedro Vuaden,Vasco da Gama,1,Flamengo,4,,,,,,
582,2019,16,Estádio São Januário,20404,24584,Anderson Daronco,Vasco da Gama,2,São Paulo,0,,,,,,
583,2019,18,Estádio São Januário,20282,24584,Caio Max Augusto Vieira,Vasco da Gama,0,EC Bahia,2,,,,,,
584,2019,20,Estádio São Januário,17427,24584,Anderson Daronco,Vasco da Gama,1,Athletico-PR,1,,,,,,
585,2019,23,Estádio São Januário,17083,24584,Savio Pereira Sampaio,Vasco da Gama,0,Santos FC,1,,,,,,
586,2019,25,Estádio São Januário,12285,24584,Daniel Nobre Bins,Vasco da Gama,1,Fortaleza,0,,,,,,
587,2019,26,Estádio São Januário,16604,24584,Flavio Rodrigues de Souza,Vasco da Gama,2,Botafogo,1,,,,,,
588,2019,29,Estádio São Januário,15254,24584,Wilton Sampaio,Vasco da Gama,1,Grêmio,3,,,,,,
589,2019,31,Estádio São Januário,8492,24584,Rafael Traci,Vasco da Gama,1,Palmeiras,2,,,,,,
590,2019,33,Estádio São Januário,18620,24584,Paulo Roberto Alves Júnior,Vasco da Gama,1,Goiás EC,1,,,,,,
591,2019,36,Estádio São Januário,19796,24584,Wilton Sampaio,Vasco da Gama,1,Cruzeiro,0,,,,,,
592,2019,6,Estádio Rei Pelé,9168,20000,Edina Alves Batista,CSA,1,Goiás EC,0,3,9,18,10,1,0
593,2019,8,Estádio Rei Pelé,11602,20000,Jean Pierre Goncalves Lima,CSA,1,Botafogo,2,8,2,11,7,3,0
594,2019,11,Estádio Rei Pelé,7845,20000,Ricardo Marques Ribeiro,CSA,0,Athletico-PR,4,3,6,14,28,0,0
595,2019,3,Arena do Grêmio,9734,60540,Raphael Claus,Grêmio,4,Fluminense,5,8,8,7,10,0,0
596,2019,6,Arena do Grêmio,15540,60540,Rafael Traci,Grêmio,1,Atlético-MG,0,13,4,10,12,0,0
597,2019,8,Estádio Francisco Stédile,14429,18190,Savio Pereira Sampaio,Grêmio,1,Fortaleza,0,10,1,7,8,2,0
598,2019,26,Arena do Grêmio,13614,60540,Rodolpho Toski Marques,Grêmio,0,EC Bahia,1,10,6,13,15,1,0
599,2019,33,Arena do Grêmio,30980,60540,Raphael Claus,Grêmio,0,Flamengo,1,10,0,9,15,3,0
600,2019,2,Estádio Aderbal Ramos da Silva,12181,17800,Wagner do Nascimento Magalhães,Avaí FC,1,Grêmio,1,11,4,17,16,0,0
601,2019,4,Estádio Aderbal Ramos da Silva,4852,17800,Dewson Fernando Freitas da Silva,Avaí FC,0,CSA,0,6,0,16,19,2,0
